Applicant Name,ESD Region,Type of Business,Track,Jobs When Certified,Net New Jobs Commitment,Investment Commitment,Research and Development Commitment,Maximum Tax Credits
Ace Hardware Corporation,CD,Distribution,Investment Track,292,25,"18,000,000.00",0.00,"500,000.00"
"Apprenda, Inc.",CD,Software Dev,Jobs Track,92,29,0.00,0.00,"400,000.00"
"Architectural Cast Stone of New York, LLC",CD,Manufacturing,Jobs Track,0,75,0.00,0.00,"500,000.00"
Bimbo Bakeries USA,CD,Manufacturing,Jobs Track,"1,531",50,0.00,0.00,"450,000.00"
"Ferguson Enterprises, Inc.",CD,Distribution,Investment Track,483,95,"40,500,000.00",0.00,"1,200,000.00"
"Green Renewable, Inc.",CD,Manufacturing,Jobs Track,19,35,0.00,0.00,"300,000.00"
"Hacker Boat Company, Inc.",CD,Manufacturing,Jobs Track,44,40,0.00,0.00,"600,000.00"
Hudson River Foods Corporation,CD,Manufacturing,Jobs Track,0,64,0.00,0.00,"200,000.00"
"Precisionaire, Inc.",CD,Manufacturing,Jobs Track,0,180,0.00,0.00,"500,000.00"
"Regeneron Pharmaceuticals, Inc. (CD#1)",CD,Manufacturing,Jobs Track,"1,823",300,"69,000,000.00","64,453,500.00","6,700,000.00"
"Regeneron Pharmaceuticals, Inc. (CD#2)",CD,Manufacturing,Jobs Track,"3,151",575,"99,600,000.00",0.00,"7,500,000.00"
"SAE Sun and Earth Energy, Inc.",CD,Manufacturing,Jobs Track,49,76,0.00,0.00,"400,000.00"
"Stone Bridge Iron & Steel, Inc.",CD,Manufacturing,Jobs Track,69,10,0.00,0.00,"200,000.00"
"UltrePET, LLC",CD,Manufacturing,Investment Track,61,7,"4,000,000.00",0.00,"250,000.00"
Virtusa Corporation,CD,Back Office,Investment Track,120,40,0.00,0.00,"200,000.00"
"Agrana Fruit US, Inc.",CNY,Manufacturing,Jobs Track,0,120,0.00,0.00,"2,000,000.00"
Anoplate Corporation,CNY,Manufacturing,Jobs Track,185,50,0.00,0.00,"600,000.00"
"Ascension Gaming Network, Inc.",CNY,Distribution,Investment Track,69,88,0.00,0.00,"300,000.00"
"Beak & Skiff Holding Company, LLC",CNY,Manufacturing,Investment Track,59,6,0.00,0.00,"100,000.00"
C Speed LLC,CNY,Manufacturing,Jobs Track,26,225,0.00,"10,000,000.00","2,000,000.00"
"Cayuga Milk Ingredients, LLC",CNY,Manufacturing,Jobs Track,0,52,0.00,0.00,"1,500,000.00"
"CEA Holdings, Inc., dba CEA Fresh Farms",CNY,Agriculture,Jobs Track,0,259,"66,482,000.00",0.00,"6,500,000.00"
"Champlain Valley Specialty of NY, Inc.",CNY,Manufacturing,Jobs Track,68,60,0.00,0.00,"800,000.00"
"Currier Plastics, Inc.",CNY,Manufacturing,Jobs Track,104,50,0.00,0.00,"1,000,000.00"
"C'Ville Yoghurt, Inc.",CNY,Manufacturing,Jobs Track,0,78,0.00,0.00,"800,000.00"
Dielectric Laboratories Inc.,CNY,Manufacturing,Jobs Track,156,60,"4,029,102.00","18,298,000.00","1,922,460.00"
"Earned Visibility, Inc.",CNY,Software Dev,Jobs Track,150,200,0.00,0.00,"4,300,000.00"
Eaton Corporation - Cooper Crouse-Hinds LLC,CNY,Manufacturing,Investment Track,516,11,0.00,0.00,"298,966.00"
Euphony Inc.,CNY,Software Dev,Jobs Track,1,10,0.00,0.00,"150,000.00"
